category_id,drug_N,품목기준코드,제품명,제조/수입사,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약을 사용하기 전에 반드시 알아야 할 내용은 무엇입니까?,이 약의 사용상 주의사항은 무엇입니까?,이 약을 사용하는 동안 주의해야 할 약 또는 음식은 무엇입니까?,이 약은 어떤 이상반응이 나타날 수 있습니까?,이 약은 어떻게 보관해야 합니까?,Unnamed: 12
11,K-000746,198100119,우루사정,(주)대웅제약,"이 약은 담즙(쓸개즙)분비 부전으로 오는 간질환, 담도(쓸개길)(담관(쓸개관), 담낭(쓸개))계 질환의 보조 치료와 만성 간질환의 간기능 개선과 소장절제 후유증 및 염증성 소장 질환의 소화불량에 사용합니다.",성인은 1회 0.5~1정(50~100 mg) 1일 3회 복용합니다.,,"이 약에 과민증 환자, 심한 담도 폐쇄, 전격성간염, 방사선비투과성 석회화된 담석, 비기능성 담낭, 급성 담낭염, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 소아, 신질환, 소화성궤양(급성 위ㆍ십이지장 궤양), 크론병과 같은 대장 및 소장염, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 심한 췌장(이자), 담석증, 정맥류 출혈, 간성혼수, 복수(뱃물), 간이식이 필요한 환자는 의사 또는 약사와 상의하십시오.","경구용 당뇨병제(톨부타미드), 콜레스티라민, 콜레스티폴, 약용탄, 마그네슘 및 수산화알루미늄을 함유하는 제산제, 간에서 콜레스테롤 분비를 증가시키는 약물(에스트로겐 함유 경구용 피임제, 클로피브레이트와 같이 지질감소약물), 간에 손상을 주는 약물을 함께 복용하지 마십시오.",,실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
12,K-000779,198100428,스파부틴정,한미약품(주),"이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 비감염성 장관 통과 장애(변비, 설사))에 사용합니다.","성인은 1회 1~2정(100~200 mg) 1일 3회 식전에 복용합니다. 연령, 증상에 따라 적절히 증감합니다.",,"갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.",,"드물게 변비, 설사, 복명, 구역, 구토, 소화장애, 구갈, 구내마비감, 심계항진, 피로감, 졸음, 현기, 권태감, 두통, GOT, GPT상승이 나타날 수 있습니다. 드물게 발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
13,K-000836,198200120,타라부틴정,국제약품(주),"이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 비감염성 장관 통과 장애(변비, 설사))에 사용합니다.","성인은 1회 1~2정(100~200 mg) 1일 3회 식전에 복용합니다. 연령, 증상에 따라 적절히 증감합니다.",,"갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.",,"드물게 변비, 설사, 복명(창자 가스소리), 구역, 구토, 소화장애, 구갈(목마름), 구내 마비감, 심계항진(두근거림), 피로감, 졸음, 현기(어지러움), 권태감, 두통, GOT, GPT상승이 나타날 수 있습니다. 드물게 발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
14,K-001029,198300343,부루펜정,삼일제약(주),"이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염)에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에 성인은 1회 1/2정~1.5정(200~600 mg), 1일 3~4회 복용하며 1일 최고 3200 mg까지 복용할 수 있습니다. 연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며, 경증 및 중등도의 동통이나 감기에는 성인 1회 1 / 2 정~1정(200~400 mg), 1일 3~4회 복용합니다. 권장용량을 초과하여 복용하지 마십시오. 연령, 증상에 따라 적절히 증감하십시오.",,"이 약에 과민증 환자, 위장관궤양, 위장관 출혈 또는 경험자, 심한 혈액이상, 심한 간장애, 심한 신장장애, 심한 심장기능부전, 심한 고혈압, 기관지천식 또는 경험자, 아스피린이나 다른 비스테로이드성 소염진통제(COX-2 저해제 포함)에 천식, 두드러기, 알레르기 반응과 같은 과민 증 또는 경험자, 관상동맥(심장동맥) 우회로술 전후 통증발생 환자, 임신 말기 3개월 기간에 해당하는 임부, 항암요법으로 고용량 메토트렉세이트를 복용중인 환자, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 혈액이상 또는 경험자, 출혈경향이 있는 환자, 간경화, 간장애 또는 경험자, 신장장애 또는 경험자, 심장기능부전 또는 심질환, 고혈압, 전신성홍반성루푸스 및 혼합 결합조직질환 환자, 궤양성대장염, 크론병, 고령자 및 소아, 임부, 수유부, 수두, 탈수 환자는 의사 또는 약사와 상의하십시오. 복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.","다른 비스테로이드성 소염진통제, 저용량 아스피린, 고용량의 메토트렉세이트, 알코올과 함께 복용하지 마십시오.","심근경색증 및 뇌졸중의 위험 증가, 위장관의 출혈, 궤양 및 천공(뚫림) 등 치명적일 수 있는 중대한 위장관계 이상반응 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",어린이의 손이 닿지 않는 곳에 보관하십시오. 실온에서 보관하십시오.,
15,K-001061,198300605,파자임밀리그램이중정,부광약품(주),"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감, 가스제거에 사용합니다.","성인은 1회 1정씩, 1일 3회 식후에 복용합니다.",,"만 7세 이하의 어린이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 알레르기 체질인 환자는 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오. 2주 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",이 약을 복용하기 전에 다른 약물을 복용하고 있는 경우 의사 또는 약사와 상의하십시오.,,습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
16,K-001330,198400830,크로낙정,영일제약(주),"이 약은 근육통, 신경통, 외상후 및 수술후 통증, 두통, 치통, 귀통증의 경증 또는 중등도 통증의 완화에 사용합니다.","성인은 1회 1~2정(125∼250 mg), 1일 3회 복용합니다.",,"이 약을 복용하기 전에 소화성궤양의 경험자, 소아 및 고령자, 고혈압, 체액저류 또는 심부전, 기관지천식 환자, 간장애, 신장애 환자 또는 경험자는 의사 또는 약사와 상의하십시오.",이 약을 복용하기 전에 미소프로스톨 등으로 소화성궤양 치료를 병행하고 있는 환자는 의사 또는 약사와 상의하십시오.,,실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
17,K-001527,198500893,에세푸릴캡슐,부광약품(주),이 약은 급성 세균성 설사에 사용합니다.,"성인은 1회 1캡슐(200 mg)씩, 1일 4회 복용합니다. 3일 이상 복용하지 않습니다. 복용 기간 동안 수분을 공급하고 설사의 심각도, 환자의 나이와 상태에 따라 수분의 정도와 공급방법을 조절합니다.","심하고 지속적인 설사, 구토 혹은 먹는 것을 거부하는 경우 정맥 수분 보충을 고려해야 합니다.","이 약에 과민증 환자, 만 18세 미만의 소아 및 청소년, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 황색5호 과민증 또는 알레르기 반응 경험자는 의사 또는 약사와 상의하십시오. 치료 후 2일이 지난 후에도 설사가 지속되는 경우 경구 혹은 정맥 수분 보충을 고려하거나 의사 또는 약사와 상의하십시오.","설사 중 생야채, 과일, 녹색채소, 매운 음식과 얼린 음식 및 음료를 피하고 가능한 익힌 음식(고기, 쌀)을 섭취하십시오.","피부발진, 두드러기, 혈관부종, 아나필락시스 쇽 같은 알레르기반응 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
18,K-001728,198601047,디크로닉정,대화제약(주),"이 약은 근육통, 신경통, 외상후 및 수술후 통증, 두통, 치통, 귀통증의 경증 또는 중등도 통증의 완화에 사용합니다.","성인은 1회 1~2정(125∼250 mg), 1일 3회 복용합니다.",,"이 약을 복용하기 전에 소화성궤양의 경험자, 소아 및 고령자, 고혈압, 체액저류 또는 심부전, 기관지천식 환자, 간장애, 신장애 환자 또는 경험자는 의사 또는 약사와 상의하십시오.",이 약을 복용하기 전에 미소프로스톨 등으로 소화성궤양 치료를 병행하고 있는 환자는 의사 또는 약사와 상의하십시오.,,실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
19,K-001743,198601210,신일트리메부틴말레산염정,신일제약(주),"이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 비감염성 장관 통과 장애(변비, 설사))에 사용합니다.","성인은 1회 1~2정(100~200 mg) 1일 3회 식전에 복용합니다. 연령, 증상에 따라 적절히 증감합니다.",,"갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.",,"드물게 변비, 설사, 복명, 구역, 구토, 소화장애, 구갈, 구내마비감, 심계항진, 피로감, 졸음, 현기, 권태감, 두통, GOT, GPT상승이 나타날 수 있습니다. 드물게 발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
20,K-001862,198700405,베아제정,(주)대웅제약,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인 1회 1정 1일 3회 식후에 복용합니다.,,"만 7세 이하의 어린이는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 알레르기 체질인 환자, 임부 또는 임신하고 있을 가능성이 있는 여성은 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오. 2주 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",이 약을 복용하기 전에 다른 약물을 복용하고 있는 경우 의사 또는 약사와 상의하십시오.,,습기와 빛을 피해 서늘한 곳에 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
21,K-001866,198700430,알마겔정,(주)유한양행,"이 약은 위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림의 제산작용 및 증상의 개선에 사용합니다.",성인 및 12세 이상의 소아는 1회 2정(1 g)을 1일 3회 식후 30분~1시간에 씹어서 복용합니다. 필요시 취침 전에 1회 더 복용할 수 있습니다.,,"이 약에 과민증 환자, 알츠하이머병, 치질, 체액저류(부기), 임신중독증, 설사, 진단되지 않은 소화기관출혈 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 신장애, 신체 허약자, 인 함량이 낮은 식이요법 실시자, 소화흡수장애가 있는 사람, 고령자, 혈액구토 또는 흑색대변 등과 같은 소화기관출혈 증상이 있는 환자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상담하십시오. 정해진 용법과 용량을 잘 지키십시오. 어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오. 2주정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","이 약을 복용하는 동안 테트라사이클린계 항생제는 복용하지 마십시오. 이 약을 복용하기 전에 비스테로이드소염(항염)진통제, 궤양치료제, 디기탈리스 제제, 클로르프로마진, 란소프라졸, 프레드니솔론, 페니실린, 퀴놀론, 철(Fe)염 제제, 살리실산염을 복용하는 환자는 의사 또는 약사와 상의하십시오.","변비, 설사 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
22,K-002031,198701478,자비론정,(주)씨엠지제약,이 약은 불면증의 보조치료 및 진정에 사용합니다.,성인은 1일 1회 1정(25 mg)을 반드시 수면 30분 전에 복용합니다. 연령과 증상에 따라 적절히 증강할 수 있습니다.,,"폐기종, 만성 기관지염 천식 등의 호흡장애, 녹내장, 전립선 비대 환자, 수유부, 15세 이하의 소아는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 임부 및 임신을 하고 있을 가능성이 있는 사람은 의사 또는 약사와 상의하십시오. 복용 후 과도한 진정이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오. 의사 또는 약사와 상의 없이 2주 이상 투여하지 마십시오.","이 약을 복용하는 동안 이미프라민계 항우울약, 항파킨슨제, 디소피라미드와 함께 복용하지 마십시오. 복용 중에는 음주하지 마십시오.",때때로 항콜린작용이 나타날 수 있습니다.,빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
23,K-002049,198701672,크라운소브레롤캅셀,지엘파마(주),"이 약은 급·만성기관지염, 호흡장애(천식, 기침)를 수반한 기관지염, 비인두염, 후두기관염 등 분비기능이 항진된 급·만성 호흡기 장애에 사용합니다.","성인은 1회 2캡슐(200 mg)씩, 1일 2회 복용합니다.",,"이 약에 과민증 환자, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.",,"드물게 전신적 알레르기증상(피부발적, 가려움, 작열감) 및 국소반응 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
24,K-002074,198701888,젠텔정,(주)유한양행,"이 약은 회충, 요충, 십이지장충, 편충, 아메리카 구충, 분선충의 감염 및 이들 혼합감염의 치료에 사용합니다.","성인 및 24개월 이상의 소아는 요충에 감염된 경우 1일 1회 1정(400 mg) 복용합니다. 박멸을 위하여 7일 뒤, 한번만 더 1정(400 mg)을 복용합니다. 회충, 십이지장충, 편충, 아메리카구충에 감염된 경우 1정(400 mg)을 단회(1회) 복용합니다. 분선충의 다른 기생충(조충)과 중증(심한증상) 혼합 감염시 1일 1회 1정(400 mg)씩 3일간 복용합니다. 삼키기 어려울 경우 씹거나 소량의 물로 복용할 수 있으며 식사를 중단하거나 하제를 쓰는 등의 특별한 과정은 필요하지 않습니다. 치료 3주 후 검사를 하여 치료되지 않았으면 경우에 따라 2차 투여를 실시할 수 있습니다.",,"이 약에 과민증 환자, 임부 및 임신하고 있을 가능성이 있는 여성 및 수유부, 2세 미만의 소아는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 간장애, 신장애 환자는 의사 또는 약사와 상의하십시오.","이 약을 복용하는 동안 테오필린, 시메티딘, 프라지콴텔, 덱사메타손, 리토나비르, 페니토인, 카르바마제핀, 페노바르비탈을 함께 복용하지 마십시오.","피부점막안증후군(스티븐스-존슨증후군), 다형홍반(여러 모양의 붉은 반점), 구역, 구토, 속쓰림, 설사, 상복부(배부분) 또는 복부(배부분) 통증, 두통 및 어지럼, 발열, 전신 발적(충혈되어 붉어짐), 발진, 가려움, 두드러기 등의 과민반응, 가역적인(회복 가능한) 탈모증 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
25,K-002160,198800154,젤콤정,(주)종근당,"이 약은 회충, 요충, 편충, 십이지장충의 감염 및 이들 혼합감염의 치료에 사용합니다.",성인 및 소아는 1정(500 mg)을 1회 복용합니다.,,"이 약에 과민증 환자, 임부는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 1세 미만의 영아, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.",,"드물게 일과성 구역, 복통, 설사, 발진, 두드러기, 혈관부종 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
26,K-002169,198800190,베스타제포르테정,동아제약(주),"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 식체(위체), 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인은 1회 1정을 1일 3회 식후에 복용합니다.,,"7세 이하의 영ㆍ유아, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 정해진 용법과 용량을 잘 지키십시오. 어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오. 2주 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",,,습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
27,K-002186,198800316,타라부틴정,국제약품(주),"이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 변비, 설사 등 비 감염성 장관 통과 장애)에 사용합니다.","성인은 1회 0.5~1정(100~200 mg) 1일 3회 식전에 복용합니다. 연령, 증상에 따라 적절히 증감합니다.",,"이 약을 복용하기 전에 황색4호에 과민증 환자 또는 경험자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.",,"드물게 변비, 설사, 복명, 구역, 구토, 소화장애, 구갈, 구내마비감, 심계항진, 피로감, 졸음, 현기, 권태감, 두통, GOT, GPT상승이 나타날 수 있습니다. 드물게 발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",실온에서 보관하십시오.,
28,K-002240,198800776,이부펜정,태극제약(주),"이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염)에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에 성인은 1회 1 / 2 정~1.5정(200~600 mg), 1일 3~4회 복용하며 1일 최고 3200 mg까지 복용할 수 있습니다. 연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며, 경증 및 중등도의 동통이나 감기에는 성인 1회 1 / 2 정~1정(200~400 mg), 1일 3~4회 복용합니다. 11~14세는 1회 200~250 mg, 7~10세는 1회 150~-200 mg, 3~6세는 1회 100~150 mg, 1~ 2세는 1회 50~100 mg을 1일 3~4회 경구투여합니다. 체중이 30 kg 미만인 어린이는 1일량이 500 mg을 초과해서는 안되며 공복시 복용은 피하는 것이 바람직합니다. 권장용량을 초과하여 복용하지 마십시오.",,"이 약에 과민증 환자, 위장관궤양, 위장관 출혈 또는 경험자, 심한 혈액이상, 심한 간장애, 심한 신장장애, 심한 심장기능부전, 심한 고혈압, 기관지천식 또는 경험자, 아스피린이나 다른 비스테로이드성 소염진통제(COX-2 저해제 포함)에 천식, 두드러기, 알레르기 반응과 같은 과민 증 또는 경험자, 관상동맥(심장동맥) 우회로술 전후 통증발생 환자, 임신 말기 3개월 기간에 해당하는 임부, 항암요법으로 고용량 메토트렉세이트를 복용중인 환자, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 혈액이상 또는 경험자, 출혈경향이 있는 환자, 간경화, 간장애 또는 경험자, 신장장애 또는 경험자, 심장기능부전 또는 심질환, 고혈압, 전신성홍반성루푸스 및 혼합 결합조직질환 환자, 궤양성대장염, 크론병, 고령자 및 소아, 임부, 수유부, 황색5호 과민증 환자는 의사 또는 약사와 상의하십시오.","다른 비스테로이드성 소염진통제, 저용량 아스피린, 고용량의 메토트렉세이트와 함께 복용하지 마십시오.","심근경색증 및 뇌졸중의 위험 증가, 위장관의 출혈, 궤양 및 천공(뚫림) 등 치명적일 수 있는 중대한 위장관계 이상반응 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",어린이의 손이 닿지 않는 곳에 보관하십시오.,
29,K-002256,198800901,크록신정,진양제약(주),"이 약은 근육통, 신경통, 외상(상처)후 및 수술후 통증, 두통, 치통, 귀통증의 경증(경증상, 가벼운 증상) 또는 중등도 통증의 완화에 사용합니다.","성인은 1회 1 / 2 ~1정(125∼250 mg), 1일 3회 복용합니다.",,"이 약을 복용하기 전에 소화성궤양의 병력이 있는 환자, 소아 및 노인, 고혈압, 체액저류(체액 고임) 또는 심부전, 기관지천식 환자, 간장애 또는 경험자, 신장장애 또는 경험자, 수유부는 의사 또는 약사와 상의하십시오.",이 약을 복용하기 전에 미소프로스톨 등으로 소화성궤양 치료를 병행하고 있는 환자는 의사 또는 약사와 상의하십시오.,,실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
30,K-002257,198800902,트리마정,진양제약(주),"이 약은 식도역류 및 열공(구멍)헤르니아(탈장), 위 십이지장염, 위·십이지장궤양에 있어서의 소화기능이상(복통(배아픔), 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 비감염성 장관 통과 장애(변비, 설사))에 사용합니다.","성인은 1회 0.5~1정(100~200 mg)씩, 1일 3회 식전에 복용합니다. 연령, 증상에 따라 적절히 증감합니다.",,"갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 황색4호에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.",,"드물게 변비, 설사, 복명(창자 가스소리), 구역, 구토, 소화장애, 구갈(목마름), 구내(입안)마비감, 심계항진(두근거림), 피로감, 졸음, 현기(어지러움), 권태감, 두통, GOT, GPT상승이 나타날 수 있습니다. 드물게 발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",실온에서 보관하십시오.,
